Wavenumber	BacVan30_1	BacVan30_2	BacVan30_3	BacVan30_4	BacVan30_5	BacVan30_6	Control30_1	Control30_2	Control30_3	Control30_4	Control30_5	Control30_6
1116	0.634723	0.814274	0.628427	0.357875	0.412044	0.523118	0.690032	0.513914	0.65289	0.380701	0.468413	0.498267
1118	0.614767	0.790184	0.611272	0.345565	0.398967	0.509054	0.670022	0.497233	0.634853	0.370108	0.459068	0.486667
1120	0.599586	0.770701	0.595203	0.333199	0.384761	0.495426	0.648631	0.482146	0.616666	0.361014	0.444178	0.475081
1122	0.58298	0.751101	0.577994	0.321866	0.373247	0.479972	0.629491	0.466815	0.594526	0.349507	0.428913	0.459789
1124	0.559224	0.725197	0.557719	0.309759	0.362505	0.46437	0.608092	0.451771	0.573092	0.333207	0.417374	0.440639
1126	0.534319	0.693186	0.536461	0.296856	0.344671	0.444366	0.583491	0.433629	0.548184	0.31856	0.401964	0.421803
1128	0.514678	0.663335	0.512986	0.284645	0.324614	0.424073	0.557952	0.414877	0.526787	0.306287	0.386365	0.399196
1130	0.495932	0.637343	0.49068	0.269799	0.309106	0.405939	0.53413	0.398743	0.509022	0.296928	0.369543	0.378352
1132	0.476003	0.616158	0.47074	0.258094	0.296659	0.384443	0.515496	0.382086	0.490373	0.282095	0.360702	0.363728
1134	0.452528	0.589341	0.450873	0.245985	0.285472	0.364112	0.498051	0.366089	0.471095	0.271525	0.346928	0.350692
1136	0.436758	0.56251	0.432327	0.233209	0.272909	0.350463	0.479275	0.353607	0.452198	0.263862	0.33051	0.339324
1138	0.420705	0.53939	0.41665	0.230264	0.258584	0.340606	0.464018	0.340311	0.435699	0.25331	0.31955	0.331672
1140	0.404646	0.529685	0.405984	0.229673	0.252829	0.333906	0.451574	0.327776	0.423607	0.239787	0.312849	0.323719
1142	0.392099	0.518431	0.395574	0.221863	0.248175	0.323021	0.442802	0.318852	0.416187	0.232795	0.304053	0.310872
1144	0.381838	0.50453	0.384333	0.214043	0.242581	0.313035	0.434563	0.311278	0.408852	0.229187	0.299406	0.305259
1146	0.381321	0.489062	0.3772	0.208298	0.23531	0.302436	0.424997	0.302135	0.397948	0.227751	0.292383	0.299037
1148	0.37438	0.477051	0.365712	0.202932	0.225455	0.29184	0.41844	0.298004	0.389939	0.228355	0.282476	0.29174
1150	0.362019	0.469568	0.360299	0.201888	0.221533	0.293936	0.4132	0.296402	0.387351	0.2247	0.275509	0.287469
1152	0.359411	0.465953	0.356759	0.198692	0.216364	0.287617	0.406967	0.295091	0.385975	0.216453	0.272943	0.286858
1154	0.356301	0.460067	0.35128	0.196211	0.216422	0.279492	0.397767	0.290212	0.378308	0.214202	0.265064	0.286739
1156	0.349458	0.448324	0.345129	0.192296	0.214911	0.272394	0.390805	0.282695	0.37697	0.215416	0.260394	0.287151
1158	0.341161	0.437044	0.339219	0.189095	0.209167	0.269092	0.390497	0.279525	0.372012	0.205602	0.256836	0.284861
1160	0.333272	0.428009	0.32662	0.192544	0.201689	0.268768	0.380929	0.275278	0.362171	0.196517	0.255794	0.277595
1162	0.329558	0.415404	0.317345	0.191239	0.204078	0.26457	0.372075	0.273227	0.356838	0.201381	0.255082	0.274603
1164	0.326479	0.409233	0.313694	0.184439	0.200587	0.257898	0.369826	0.267296	0.352401	0.202233	0.244474	0.274187
1166	0.318579	0.405122	0.315842	0.185329	0.197596	0.254915	0.368825	0.264577	0.353237	0.19074	0.245501	0.270308
1168	0.313445	0.40611	0.318962	0.187561	0.195962	0.250991	0.373191	0.265347	0.354987	0.185127	0.249881	0.263118
1170	0.31548	0.413509	0.315529	0.187251	0.193014	0.25032	0.374455	0.266699	0.356244	0.187368	0.250621	0.262262
1172	0.317762	0.411731	0.313994	0.185876	0.191754	0.247199	0.36871	0.267283	0.353056	0.191319	0.248305	0.264069
