Wavenumber	60 nm PMMA av. (N=3) - 0.9* H2O correct
2553.3000000000002	0.000453333
2555.23	0.000337
2557.1599999999999	0.000177333
2559.0900000000001	9.300000000000001e-5
2561.02	0.000110333
2562.9499999999998	0.000181667
2564.8699999999999	0.000281667
2566.8000000000002	0.000387
2568.73	0.000436
2570.6599999999999	0.000404333
2572.5900000000001	0.000342667
2574.52	0.000304333
2576.4499999999998	0.000288667
2578.3699999999999	0.000284
2580.3000000000002	0.000279
2582.23	0.000259333
2584.1599999999999	0.000217333
2586.0900000000001	0.000178667
2588.02	0.000197
2589.9400000000001	0.000255667
2591.8699999999999	0.000280667
2593.8000000000002	0.000274667
2595.73	0.000284333
2597.6599999999999	0.000306
2599.5900000000001	0.000314667
2601.52	0.000317
2603.4400000000001	0.000295667
2605.3699999999999	0.000235333
2607.3000000000002	0.000189667
2609.23	0.000198333
2611.1599999999999	0.000227667
2613.0900000000001	0.000242333
2615.02	0.000236333
2616.9400000000001	0.000210333
2618.8699999999999	0.000182667
2620.8000000000002	0.000148667
2622.73	9.53333e-5
2624.6599999999999	9.133330000000002e-5
2626.5900000000001	0.000179333
2628.5100000000002	0.000262333
2630.4400000000001	0.000257333
2632.3699999999999	0.000231333
2634.3000000000002	0.000231667
2636.23	0.000204667
2638.1599999999999	0.000144667
2640.0900000000001	0.000103
2642.0100000000002	8.666670000000001e-5
2643.9400000000001	7.6e-5
2645.8699999999999	6.766670000000001e-5
2647.8000000000002	7.36667e-5
2649.73	0.000112
2651.6599999999999	0.000179667
2653.5799999999999	0.000262667
2655.5100000000002	0.000332667
2657.4400000000001	0.000355
2659.3699999999999	0.000309333
2661.3000000000002	0.000212333
2663.23	0.000113333
2665.1599999999999	4.533330000000001e-5
2667.0799999999999	-1.2e-5
2669.0100000000002	-6.43333e-5
2670.9400000000001	-7.3e-5
2672.8699999999999	-3.9e-5
2674.8000000000002	-1.76667e-5
2676.73	-3.26667e-5
2678.6500000000001	-2.76667e-5
2680.5799999999999	5.366670000000001e-5
2682.5100000000002	0.000160333
2684.4400000000001	0.000203667
2686.3699999999999	0.000191333
2688.3000000000002	0.000179333
2690.23	0.000180333
2692.1500000000001	0.000182
2694.0799999999999	0.000191667
2696.0100000000002	0.000207667
2697.9400000000001	0.000186333
2699.8699999999999	0.000102
2701.8000000000002	1e-6
2703.73	-7.83333e-5
2705.6500000000001	-0.000145667
2707.5799999999999	-0.000167333
2709.5100000000002	-9.1e-5
2711.4400000000001	3.1e-5
2713.3699999999999	6.93333e-5
2715.3000000000002	8e-6
2717.2199999999998	-4.8e-5
2719.1500000000001	-4.400000000000001e-5
2721.0799999999999	-2.8e-5
2723.0100000000002	-4.5e-5
2724.9400000000001	-7.2e-5
2726.8699999999999	-6.733330000000001e-5
2728.8000000000002	-3.33333e-5
2730.7199999999998	-8.666669999999999e-6
2732.6500000000001	-1.16667e-5
2734.5799999999999	-2.93333e-5
2736.5100000000002	-3.83333e-5
2738.4400000000001	-2.53333e-5
2740.3699999999999	1.56667e-5
2742.29	7.2e-5
2744.2199999999998	0.000102333
2746.1500000000001	7.43333e-5
2748.0799999999999	-8.666669999999999e-6
2750.0100000000002	-0.000124
2751.9400000000001	-0.000227333
2753.8699999999999	-0.000277667
2755.79	-0.000274667
2757.7199999999998	-0.000239333
2759.6500000000001	-0.000184333
2761.5799999999999	-0.000143
2763.5100000000002	-0.000153
2765.4400000000001	-0.000186333
2767.3600000000001	-0.000157333
2769.29	-5.733330000000001e-5
2771.2199999999998	-1.3e-5
2773.1500000000001	-0.000103333
2775.0799999999999	-0.000234
2777.0100000000002	-0.000274333
2778.9400000000001	-0.000212333
2780.8600000000001	-0.000155667
2782.79	-0.000163333
2784.7199999999998	-0.000154667
