Wavenumber	580nm1	580nm2	580nm3	580 nm av. (N=3)	600nm1	600nm2	600nm3	600nm av. (N=3)	600nm2_1	600nm2_2	600nm2_3	600nm control sample av. (N=3)	700nm1	700nm2	700nm3	700 nm av. (N=3)	800nm1	800nm2	800nm3	800 nm av. (N=3)	900nm1	900nm2	900nm3	900 nm av. (N=3)	2000nm1	2000nm2	2000nm3	2000 nm av. (N=3)	60nm1	60nm2	60nm3	60 nm PMMA av. (N=3)	H2O Korrektur	60 nm PMMA av. (N=3) - 0.9* H2O correction spectrum
844,673	0,000248	-0,001582	-0,001416	-0,000916667	0,001522	0,004089	0,008303	0,004638	0,00276	0,003262	0,002469	0,00283033	-0,000713	7,9e-05	0,000694	2e-05	0,00122	0,000826	0,000512	0,000852667	0,002582	0,002635	0,002512	0,00257633	0,073758	0,073716	0,074682	0,074052	0,002053	0,001399	0,002181	0,00187767	0,000175	0,00170267
846,602	-0,000262	-0,001924	-0,001765	-0,001317	0,001044	0,003613	0,00794	0,004199	0,002101	0,002715	0,002073	0,00229633	-0,001401	-0,000655	2e-05	-0,000678667	0,000464	-0,000235	-0,00046	-7,7e-05	0,001407	0,001361	0,001476	0,00141467	0,06547	0,065284	0,066249	0,0656677	0,002018	0,001283	0,002236	0,00184567	0,000194	0,00165167
848,53	-0,000824	-0,002297	-0,002136	-0,00175233	0,000592	0,003167	0,007635	0,003798	0,00146	0,002153	0,001712	0,001775	-0,002114	-0,001446	-0,00077	-0,00144333	-0,000423	-0,001288	-0,001305	-0,00100533	0,000386	9,7e-05	0,000406	0,000296333	0,057148	0,057038	0,057841	0,0573423	0,001965	0,001219	0,00233	0,001838	0,00026	0,001578
850,458	-0,001307	-0,002756	-0,002605	-0,00222267	0,000188	0,002823	0,00728	0,00343033	0,001022	0,001648	0,001429	0,00136633	-0,002729	-0,00219	-0,001493	-0,00213733	-0,001341	-0,002123	-0,001997	-0,00182033	-0,000597	-0,000953	-0,000703	-0,000751	0,049761	0,049864	0,05045	0,050025	0,001835	0,001195	0,002319	0,001783	0,000375	0,001408
852,387	-0,001827	-0,003335	-0,003177	-0,00277967	-0,000269	0,002492	0,006753	0,002992	0,000668	0,001219	0,0011	0,000995667	-0,003275	-0,002865	-0,002126	-0,00275533	-0,002243	-0,002759	-0,002704	-0,00256867	-0,001662	-0,001874	-0,001825	-0,001787	0,043617	0,043747	0,044215	0,0438597	0,001586	0,001118	0,002065	0,00158967	0,000367	0,00122267
854,315	-0,002417	-0,003928	-0,003709	-0,00335133	-0,00079	0,002061	0,006111	0,00246067	0,000258	0,000774	0,000636	0,000556	-0,003801	-0,003392	-0,002698	-0,003297	-0,003089	-0,003334	-0,003493	-0,00330533	-0,002698	-0,002684	-0,002805	-0,002729	0,038571	0,038505	0,038941	0,0386723	0,001352	0,00098	0,001658	0,00133	0,000138	0,001192
856,244	-0,002884	-0,004435	-0,004028	-0,00378233	-0,001208	0,001553	0,005581	0,00197533	-8,2e-05	0,000305	0,000174	0,000132333	-0,004263	-0,003706	-0,003187	-0,00371867	-0,00379	-0,003879	-0,004183	-0,00395067	-0,003525	-0,003261	-0,003535	-0,00344033	0,034393	0,034117	0,034575	0,0343617	0,001269	0,000918	0,001388	0,00119167	-0,000152	0,00134367
858,172	-0,003053	-0,004772	-0,00408	-0,00396833	-0,001353	0,001131	0,005363	0,00171367	-0,000189	1,2e-05	-3,9e-05	-7,2e-05	-0,004597	-0,00385	-0,003543	-0,00399667	-0,004239	-0,004266	-0,004554	-0,004353	-0,004063	-0,003606	-0,004038	-0,00390233	0,030946	0,030551	0,031121	0,0308727	0,001374	0,001042	0,001496	0,001304	-0,000234	0,001538
860,101	-0,002945	-0,004822	-0,003959	-0,00390867	-0,001282	0,000915	0,005444	0,00169233	-0,000153	2,5e-05	5,9e-05	-2,3e-05	-0,004784	-0,003933	-0,003767	-0,00416133	-0,004455	-0,004461	-0,004608	-0,004508	-0,004371	-0,003835	-0,004374	-0,00419333	0,028038	0,027592	0,028324	0,0279847	0,001633	0,0013	0,001917	0,00161667	-5e-06	0,00162167
862,029	-0,002777	-0,004649	-0,003842	-0,003756	-0,001266	0,000907	0,005551	0,00173067	-0,00017	0,000163	0,000226	7,3e-05	-0,004873	-0,004109	-0,003932	-0,00430467	-0,004631	-0,004619	-0,004589	-0,004613	-0,004628	-0,00408	-0,004643	-0,00445033	0,02539	0,024907	0,025739	0,0253453	0,001875	0,001548	0,002288	0,00190367	0,000352	0,00155167
863,958	-0,002854	-0,004586	-0,003877	-0,00377233	-0,001512	0,000957	0,005382	0,001609	-0,000305	0,000139	0,000183	5,66667e-06	-0,005047	-0,004465	-0,004102	-0,004538	-0,00489	-0,004883	-0,004768	-0,004847	-0,004991	-0,004472	-0,00498	-0,00481433	0,022821	0,022202	0,023038	0,022687	0,001871	0,001664	0,002342	0,001959	0,000546	0,001413
865,886	-0,003236	-0,00479	-0,004054	-0,00402667	-0,001946	0,000825	0,00497	0,001283	-0,000499	-8,3e-05	-8,6e-05	-0,000222667	-0,005438	-0,004882	-0,004251	-0,004857	-0,005166	-0,005213	-0,005141	-0,00517333	-0,005463	-0,004985	-0,005436	-0,00529467	0,020301	0,019475	0,020209	0,019995	0,001637	0,001619	0,002143	0,00179967	0,000499	0,00130067
