wavenumber (cm-1)	CaF2 Substrat	Pery1	Pery2	Pery3	Pery3-1	Pery4	Pery5	TPCA1	TPCA2
3790.49468	0.68297	0.65899	0.5396	0.0007	0.6201	0.56096	0.6281600000000001	0.66992	0.67482
3789.53042	0.68253	0.65863	0.53954	0.00069	0.61976	0.56082	0.62788	0.66958	0.67455
3788.56617	0.6826	0.65851	0.53968	0.00066	0.6196199999999999	0.56101	0.62761	0.6694099999999999	0.6744
3787.60191	0.68296	0.65876	0.53991	0.00057	0.61976	0.5613899999999999	0.62765	0.66945	0.67439
3786.63765	0.68323	0.65909	0.5401	0.00019	0.61988	0.56162	0.62791	0.66947	0.67436
3785.6734	0.68343	0.6594100000000001	0.5401899999999999	0.00068	0.61993	0.56151	0.62806	0.66945	0.67444
3784.70914	0.68374	0.65981	0.53998	0.0013	0.62024	0.56104	0.62807	0.66977	0.6748499999999999
3783.74488	0.68397	0.65987	0.53973	0.00132	0.62065	0.56079	0.62813	0.67019	0.67524
3782.78062	0.68372	0.65927	0.5397	0.00104	0.6206199999999999	0.5610000000000001	0.62806	0.67006	0.6751200000000001
3781.81637	0.68327	0.65859	0.53981	0.00101	0.62027	0.56138	0.62796	0.66954	0.6748
3780.85211	0.68299	0.65831	0.54006	0.00086	0.61974	0.5619	0.62793	0.66896	0.6745100000000001
3779.88785	0.6829	0.65847	0.53999	0.00058	0.61969	0.56177	0.6276	0.66871	0.67449
3778.9236	0.68321	0.65907	0.53952	0.00049	0.62071	0.56069	0.62725	0.66939	0.6751
3777.95934	0.68349	0.65939	0.53961	0.00038	0.62118	0.56048	0.62758	0.6700199999999999	0.6754
3776.99508	0.68337	0.65917	0.53987	0.00054	0.62076	0.56094	0.62806	0.67003	0.67517
3776.03082	0.68311	0.65874	0.5398500000000001	0.00067	0.62019	0.56124	0.6281600000000001	0.66984	0.67481
3775.06657	0.68297	0.65854	0.53982	0.00088	0.61977	0.56137	0.62795	0.66977	0.67447
3774.10231	0.68308	0.65874	0.53998	0.00119	0.6197	0.56152	0.6279	0.66989	0.67433
3773.13805	0.68325	0.6590200000000001	0.54021	0.0011	0.61983	0.5617	0.62813	0.6699000000000001	0.67439
3772.1738	0.6833900000000001	0.65922	0.54056	0.0005999999999999999	0.61991	0.56215	0.62844	0.66979	0.67457
3771.20954	0.68338	0.6593599999999999	0.54111	0.00026	0.6198900000000001	0.5627799999999999	0.62863	0.6696299999999999	0.6746
3770.24528	0.68323	0.65959	0.5412	0.00057	0.62046	0.56232	0.6284999999999999	0.66965	0.67471
3769.28102	0.6834	0.66008	0.5405	0.00096	0.62185	0.56088	0.62849	0.67036	0.67542
3768.31677	0.68346	0.66003	0.5403	0.00043	0.62188	0.56112	0.6288	0.6706800000000001	0.67548
3767.35251	0.6831199999999999	0.65951	0.54056	0.00048	0.62071	0.5622	0.62879	0.67015	0.67464
3766.38825	0.68281	0.65906	0.5404600000000001	0.00069	0.6197	0.5624400000000001	0.6283300000000001	0.66969	0.6739000000000001
3765.424	0.68297	0.6590200000000001	0.5398500000000001	0.0008899999999999999	0.62003	0.56151	0.6281	0.67032	0.67432
3764.45974	0.6833900000000001	0.65923	0.53977	0.00083	0.62078	0.56134	0.6286	0.6710199999999999	0.67522
3763.49548	0.68354	0.65929	0.54022	0.0006400000000000001	0.62074	0.56203	0.62899	0.67071	0.6754
3762.53122	0.68364	0.65938	0.54066	0.00054	0.62059	0.56255	0.62912	0.67027	0.6753400000000001
3761.56697	0.68381	0.65955	0.54118	0.00046	0.62044	0.56309	0.6292	0.6701	0.67533
3760.60271	0.68384	0.65967	0.54167	0.00063	0.6202	0.56348	0.62907	0.66989	0.67516
3759.63845	0.68404	0.66013	0.54139	0.00071	0.6209	0.5625	0.62886	0.6702	0.67533
3758.6742	0.6843399999999999	0.66067	0.54096	0.00038	0.62175	0.56158	0.62905	0.67076	0.67589
3757.70994	0.68398	0.66034	0.54114	0.00033	0.62097	0.56207	0.629	0.6703	0.67563
